alias,normalform,typ
Tsp,Tagesspiegel,Medium
BerlZtg,Berliner Zeitung,Medium
Bez,Berliner Zeitung,Medium
BerlMopo,Berliner Morgenpost,Medium
taz,taz,Medium
Taz,taz,Medium
Sp,Spiegel,Medium
Spiegel,Spiegel,Medium
Faz,Frankfurter Allgemeine Zeitung,Medium
FAZ,Frankfurter Allgemeine Zeitung,Medium
SZ,Süddeutsche Zeitung,Medium
FR,Frankfurter Rundschau,Medium
HB,Handelsblatt,Medium
WamS,Welt am Sonntag,Medium
Welt,Die Welt,Medium
BörsZtg,Börsen-Zeitung,Medium
FTD,Financial Times Deutschland,Medium
ND,Neues Deutschland,Medium
RBB,Rundfunk Berlin-Brandenburg,Medium
DLF,Deutschlandfunk,Medium
Bild,Bild,Medium
