text,label,count
Mill,PER,7
“ Spiegel,ORG,5
…,PER,5
Grüne,ORG,4
Entrauchungsanlage,PER,4
BER-Eröffnung,ORG,4
Ministerium,ORG,3
Berliner SPD,ORG,3
SLB,ORG,3
PPS-Geschäftsführer,ORG,3
BBF-Gesellschafter,ORG,3
Konsortiums,ORG,3
Willy Brandt,PER,3
BER-Aufsichtsratschef,ORG,3
Berliner Flughafen-Gesellschaft,ORG,2
Berlins Regierender,PER,2
MinPräs Stolpe,ORG,2
RegBürgermeister Diepgen,PER,2
Platzecks,PER,2
DDR-Zeiten,ORG,2
Gegner,PER,2
Sperenberg,PER,2
Verseuchung,ORG,2
Passagier,PER,2
Tempelhof,PER,2
Mark Verlust,PER,2
SPIEGEL-Interview,ORG,2
RWE,ORG,2
Wilmer,PER,2
Cutler & Pickering,ORG,2
BBF-Aufsichtsratsvorsitzender,ORG,2
IVG-Konsortium,ORG,2
Landesentwicklungsplan,PER,2
PPS-Aufsichtsrat,ORG,2
Arnim Bechmann,PER,2
BBI-Planung,ORG,2
BBIP-Konsortium,ORG,2
Chefplaner,PER,2
Gebhardt,PER,2
Deutschen Flugsicherung,ORG,2
Brandenburgs Wirtschaftsminister,PER,2
Intern,PER,2
Regierungsterminal,PER,2
Ludwig,PER,2
Flughafensprecher Ralf Kunkel,PER,2
FBB-Aufsichtsrat,ORG,2
BER-Technikchef,ORG,2
Planfeststellungsbeschlusses,PER,2
SPD-Politiker,ORG,2
BER-Terminals,ORG,2
BER-Südbahn,ORG,2
Kabeltrassen,PER,2
Schönefeld-Alt,PER,2
Imtech,PER,2
BER-Aufsichtsrat,ORG,2
Abgeordneten,ORG,2
Francis G.,PER,2
EU,ORG,2
Masterplan,PER,2
BER-Finanzierung,ORG,2
07.03.2017,PER,2
Spreeplan,PER,2
Single-Airports,ORG,2
