alias,normalform,typ
Flughafen Berlin Brandenburg,Flughafen Berlin Brandenburg,Organisation
BER,Flughafen Berlin Brandenburg,Organisation
BBI,Flughafen Berlin Brandenburg,Organisation
Flughafen BER,Flughafen Berlin Brandenburg,Organisation
Berlin Brandenburg Airport,Flughafen Berlin Brandenburg,Organisation
Berlin,Berlin,Ort
Berlins,Berlin,Ort
Berliner,Berlin,Ort
Berlin (Stadt),Berlin,Ort
Schönefeld,Schönefeld,Ort
Schönefelds,Schönefeld,Ort
Flughafen Schönefeld,Schönefeld,Ort
Berliner Zeitung,Berliner Zeitung,Werk
BerlZtg,Berliner Zeitung,Werk
Brandenburg,Brandenburg,Ort
Brandenburgs,Brandenburg,Ort
Brandenburger,Brandenburg,Ort
brandenburgischen,Brandenburg,Ort
brandenburgische,Brandenburg,Ort
Bundesrepublik Deutschland (Bund als Anteilseigner),Bundesrepublik Deutschland (Bund als Anteilseigner),Organisation
Bund,Bundesrepublik Deutschland (Bund als Anteilseigner),Organisation
Flughafen Berlin Brandenburg,Flughafen Berlin Brandenburg,Organisation
BBI,Flughafen Berlin Brandenburg,Organisation
BER,Flughafen Berlin Brandenburg,Organisation
Berlin Brandenburg International,Flughafen Berlin Brandenburg,Organisation
Berliner Flughafengesellschaft BBF,Berliner Flughafengesellschaft BBF,Organisation
BBF,Berliner Flughafengesellschaft BBF,Organisation
Hartmut Mehdorn,Hartmut Mehdorn,Person
Mehdorn,Hartmut Mehdorn,Person
Sozialdemokratische Partei Deutschlands,Sozialdemokratische Partei Deutschlands,Organisation
SPD,Sozialdemokratische Partei Deutschlands,Organisation
Flughafen Berlin Brandenburg GmbH,Flughafen Berlin Brandenburg GmbH,Organisation
FBB,Flughafen Berlin Brandenburg GmbH,Organisation
Sperenberg,Sperenberg,Ort
Berliner Morgenpost,Berliner Morgenpost,Werk
BerlMopo,Berliner Morgenpost,Werk
Der Tagesspiegel,Der Tagesspiegel,Werk
Tagesspiegel,Der Tagesspiegel,Werk
Tsp,Der Tagesspiegel,Werk
Flughafen Berlin-Tempelhof,Flughafen Berlin-Tempelhof,Ort
Tempelhof,Flughafen Berlin-Tempelhof,Ort
Flughafen Berlin-Tegel,Flughafen Berlin-Tegel,Ort
Tegel,Flughafen Berlin-Tegel,Ort
Flughafen Tegel,Flughafen Berlin-Tegel,Ort
Klaus Wowereit,Klaus Wowereit,Person
Wowereit,Klaus Wowereit,Person
Christlich Demokratische Union Deutschlands,Christlich Demokratische Union Deutschlands,Organisation
CDU,Christlich Demokratische Union Deutschlands,Organisation
Berliner Zeitung,Berliner Zeitung,Werk
BerlZtg,Berliner Zeitung,Werk
Der Spiegel,Der Spiegel,Werk
Spiegel,Der Spiegel,Werk
Sp,Der Spiegel,Werk
Rainer Schwarz,Rainer Schwarz,Person
Schwarz,Rainer Schwarz,Person
Engelbert Lütke Daldrup,Engelbert Lütke Daldrup,Person
Lütke Daldrup,Engelbert Lütke Daldrup,Person
Handelsblatt,Handelsblatt,Werk
HB,Handelsblatt,Werk
PPS (Projektsteuerung BER),PPS (Projektsteuerung BER),Organisation
PPS,PPS (Projektsteuerung BER),Organisation
Horst Amann,Horst Amann,Person
Amann,Horst Amann,Person
Matthias Platzeck,Matthias Platzeck,Person
Platzeck,Matthias Platzeck,Person
Jörg Marks,Jörg Marks,Person
Marks,Jörg Marks,Person
Potsdam,Potsdam,Ort
Deutsche Lufthansa AG,Deutsche Lufthansa AG,Organisation
Lufthansa,Deutsche Lufthansa AG,Organisation
Manfred Stolpe,Manfred Stolpe,Person
Stolpe,Manfred Stolpe,Person
Leipzig,Leipzig,Ort
IVG Immobilien AG,IVG Immobilien AG,Organisation
IVG,IVG Immobilien AG,Organisation
Michael Müller,Michael Müller,Person
Müller,Michael Müller,Person
Untersuchungsausschuss BER,Untersuchungsausschuss BER,Organisation
Untersuchungsausschuss,Untersuchungsausschuss BER,Organisation
Eberhard Diepgen,Eberhard Diepgen,Person
Diepgen,Eberhard Diepgen,Person
Frankfurt am Main,Frankfurt am Main,Ort
Frankfurt,Frankfurt am Main,Ort
Diepensee,Diepensee,Ort
Air Berlin PLC & Co. Luftverkehrs KG,Air Berlin PLC & Co. Luftverkehrs KG,Organisation
Air Berlin,Air Berlin PLC & Co. Luftverkehrs KG,Organisation
Manfred Körtgen,Manfred Körtgen,Person
Körtgen,Manfred Körtgen,Person
Karsten Mühlenfeld,Karsten Mühlenfeld,Person
Mühlenfeld,Karsten Mühlenfeld,Person
die tageszeitung,die tageszeitung,Werk
taz,die tageszeitung,Werk
Bundesverwaltungsgericht,Bundesverwaltungsgericht,Organisation
Deutschland,Deutschland,Ort
München,München,Ort
HOCHTIEF AG,HOCHTIEF AG,Organisation
Hochtief,HOCHTIEF AG,Organisation
Siemens AG,Siemens AG,Organisation
Siemens,Siemens AG,Organisation
Dietmar Woidke,Dietmar Woidke,Person
Woidke,Dietmar Woidke,Person
Flughafengesellschaft Berlin Schönefeld,Flughafengesellschaft Berlin Schönefeld,Organisation
FBS,Flughafengesellschaft Berlin Schönefeld,Organisation
Süddeutsche Zeitung,Süddeutsche Zeitung,Werk
SZ,Süddeutsche Zeitung,Werk
Frankfurter Rundschau,Frankfurter Rundschau,Werk
FR,Frankfurter Rundschau,Werk
Abgeordnetenhaus von Berlin,Abgeordnetenhaus von Berlin,Organisation
Berliner Abgeordnetenhaus,Abgeordnetenhaus von Berlin,Organisation
Abgeordnetenhaus,Abgeordnetenhaus von Berlin,Organisation
Jüterbog,Jüterbog,Ort
Die Zeit,Die Zeit,Werk
Zeit,Die Zeit,Werk
