alias,normalform,typ
Ismail Enver,Ismail Enver,Person
Enver Pasha,Ismail Enver,Person
Effendi,Ismail Enver,Person
Pascha,Ismail Enver,Person
Muhammad Kurd 'Ali,Ismail Enver,Person
Kurdi Ali,Ismail Enver,Person
Kurd Ali,Ismail Enver,Person
Istanbul,Istanbul,Ort
İstanbul,Istanbul,Ort
Stadt in der Türkei,Istanbul,Ort
Ottoman,Ottoman,Organisation
Ottoman state,Ottoman,Organisation
Osmanen,Ottoman,Organisation
Ottoman nationhood,Ottoman,Organisation
Ottoman Empire,Ottoman,Organisation
Hamidian,Hamidian,Konzept
Second Constitutional Period,Second Constitutional Period,Konzept
Watan Wa Al Wataniyya,Second Constitutional Period,Konzept
CUP,CUP,Organisation
Committee of Union and Progress,CUP,Organisation
Mutadayyinun,Mutadayyinun,Konzept
Reform Club,Mutadayyinun,Konzept
Daʿwa al-Siyyasa al-Shaʿbiyya,Mutadayyinun,Konzept
Armenier,Armenier,Person
Wahhab,Wahhab,Konzept
Waḥhābīyūn,Wahhab,Konzept
Ulama,Ulama,Konzept
Badr al-Din al-Hasani,Badr al-Din al-Hasani,Person
Mahmud al-Attar,Badr al-Din al-Hasani,Person
Abd al-Hamid al-Daghestani,Badr al-Din al-Hasani,Person
Antonius Hourani Sharabi,Antonius Hourani Sharabi,Person
Commins Qasimi,Commins Qasimi,Person
Bitars Khanis Ahmad al jazairi abd al ghani al ghunaymi abd al qadir al jazairi,Bitars Khanis Ahmad al jazairi abd al ghani al ghunaymi abd al qadir al jazairi,Person
"Bitars, Khanis, Ahmad al jazairi, abd al ghani al ghunaymi",Bitars Khanis Ahmad al jazairi abd al ghani al ghunaymi abd al qadir al jazairi,Person
Muhammad Fawzi Pasha,Muhammad Fawzi Pasha,Person
Muhammad Fawzi Pasha al-Azm,Muhammad Fawzi Pasha,Person
al-'Azm,Muhammad Fawzi Pasha,Person
Damaskus,Damaskus,Ort
Staat in der Region Nahost,Damaskus,Ort
Syrian State,Damaskus,Ort
Syrien,Damaskus,Ort
Syrische Hauptstadt,Damaskus,Ort
Turco-Syrian Committee,Turco-Syrian Committee,Organisation
Rafiq,Rafiq,Person
Haqqi al azm,Haqqi al azm,Konzept
Arabismus,Haqqi al azm,Konzept
arabistische Bewegung,Haqqi al azm,Konzept
Arabisch,Haqqi al azm,Konzept
Faris,Faris,Person
Firas,Faris,Person
Ahmed Rıza,Ahmed Rıza,Person
Ahmed Riza,Ahmed Rıza,Person
Riza,Ahmed Rıza,Person
Saud,Saud,Person
Saudi,Saud,Person
Faysal,Faysal,Person
faysalistisch,Faysal,Person
Syrische Bewegung,Faysal,Person
Gelvin,Gelvin,Person
Khalid Sharizuri,Gelvin,Person
Sharizuri,Gelvin,Person
d1827,Gelvin,Person
Rafiq al-'Azm,Rafiq al-'Azm,Person
Rafiq al-Azm,Rafiq al-'Azm,Person
Shukri al-'Asali,Shukri al-'Asali,Person
Shukri al-Asali,Shukri al-'Asali,Person
notablen,notablen,Konzept
Naqib al-Ashraf,Naqib al-Ashraf,Person
ata Bakri,ata Bakri,Person
Amir 'Abd al-Qadir,Amir 'Abd al-Qadir,Person
Young Turk,Young Turk,Konzept
salah al din al tunisi,salah al din al tunisi,Person
muhammadisten,muhammadisten,Konzept
reformisten,reformisten,Konzept
jungtürken,jungtürken,Konzept
Al tunisi,Al tunisi,Person
Konservative,Konservative,Konzept
Shafiq al- Mu'ayad,Shafiq al- Mu'ayad,Person
'Abd al-Hamid Zahrawi,'Abd al-Hamid Zahrawi,Person
Shukri al-' Asali,Shukri al-' Asali,Person
Rushdi al-Sham'a,Rushdi al-Sham'a,Person
Hafiz al-Sa'id,Hafiz al-Sa'id,Person
Syria,Syria,Ort
Beirut,Beirut,Ort
Lisan al hal,Lisan al hal,Organisation
kef,kef,Organisation
Muhammad Kurd ‘Ali,Muhammad Kurd ‘Ali,Person
Kurd ‘Ali,Kurd ‘Ali,Person
Sectarianism,Sectarianism,Konzept
Opposition,Opposition,Konzept
Muqtabas,Muqtabas,Organisation
Christen,Christen,Konzept
banker,banker,Konzept
Municipal Council (Majlis al-baladiyya),Municipal Council (Majlis al-baladiyya),Organisation
Damascus,Damascus,Ort
Council of the District (Majlis al-idara al-liwa'),Council of the District (Majlis al-idara al-liwa'),Organisation
Kaylanis,Kaylanis,Konzept
Hasibis,Hasibis,Konzept
Ajlanis,Ajlanis,Konzept
"Ghazzi, Salih","Ghazzi, Salih",Person
Ghazzis,Ghazzis,Konzept
Qadiriyya,Qadiriyya,Organisation
'Abd al-Latif,'Abd al-Latif,Person
Municipal Council,Municipal Council,Organisation
Tanzimat,Tanzimat,Konzept
panislamismus,panislamismus,Konzept
'Abd al-Rahman Pasha al-Yusuf,'Abd al-Rahman Pasha al-Yusuf,Person
Shaykh Muhammad al-'Ajlani,Shaykh Muhammad al-'Ajlani,Person
Shaykh Sulayman Jukhadar,Shaykh Sulayman Jukhadar,Person
