alias,normalform,typ
Nā‘īf al-Yāzijī,Nā‘īf al-Yāzijī,Person
Nā‚īf al-Yāzijī,Nā‘īf al-Yāzijī,Person
Nā‘īf al-Yāziji,Nā‘īf al-Yāzijī,Person
Faris al-Shidyaq,Faris al-Shidyaq,Person
Ahmad Faris al-Shidyaq,Faris al-Shidyaq,Person
Aamad Fāris al-Shidyāq,Faris al-Shidyaq,Person
Aamad Fāris,Faris al-Shidyaq,Person
Fāris al-Shidyāq,Faris al-Shidyaq,Person
Buṭrus al-Bustānī,Buṭrus al-Bustānī,Person
Bu†rus al-Bustānī,Buṭrus al-Bustānī,Person
Būṭrus al-Bustānī,Buṭrus al-Bustānī,Person
Juri' Zaydán,Juri' Zaydán,Person
Jurji Zaydan,Juri' Zaydán,Person
Zaydan,Juri' Zaydán,Person
"Zaydan, Jurji",Juri' Zaydán,Person
Chair al-Dīn Pashah,Chair al-Dīn Pashah,Person
Khayr al-Din Pasha,Chair al-Dīn Pashah,Person
Khayr al-Dīn Paschā,Chair al-Dīn Pashah,Person
Miḥīl ʿAlfāq,Miḥīl ʿAlfāq,Person
Michel ʿAflaq,Miḥīl ʿAlfāq,Person
Mīchīl al-‘Ālūq,Miḥīl ʿAlfāq,Person
Mehmet Ali,Mehmet Ali,Person
Muhammads Abduh,Muhammads Abduh,Person
Abduh,Muhammads Abduh,Person
MUHAMMAD 􏰋ABDUH,Muhammads Abduh,Person
Antun,Antun,Person
Ibn Khaldun,Antun,Person
Friedrich Nietzsche,Friedrich Nietzsche,Person
Nietzsche,Friedrich Nietzsche,Person
Enver,Enver,Person
Georg Wilhelm Friedrich Hegel,Georg Wilhelm Friedrich Hegel,Person
Hegel,Georg Wilhelm Friedrich Hegel,Person
Syria,Syria,Ort
Syrien,Syria,Ort
Nahda,Nahda,Konzept
Arab Renaissance,Nahda,Konzept
Beirut,Beirut,Ort
Ottoman Empire,Ottoman Empire,Organisation
Osmanisches Reich,Ottoman Empire,Organisation
Imperium Ottomanum,Ottoman Empire,Organisation
West,West,Konzept
Anatolia,Anatolia,Ort
Ismail Enver,Ismail Enver,Person
"Enver, Ismail",Ismail Enver,Person
"Enver, I.",Ismail Enver,Person
CUP,CUP,Organisation
Khaled el-Rouayeb,Khaled el-Rouayeb,Person
"el-Rouayeb, Khaled",Khaled el-Rouayeb,Person
Şerif Mardin,Şerif Mardin,Person
"Mardin, Şerif",Şerif Mardin,Person
Hourani,Hourani,Person
Benjamin,Benjamin,Person
Ibn al-Athir,Ibn al-Athir,Person
"al-Athir, Ibn",Ibn al-Athir,Person
Al-Bustani,Al-Bustani,Person
"Bustani, Al-",Al-Bustani,Person
Abd Allah al-Nadim,Abd Allah al-Nadim,Person
Adib Ishaq,Adib Ishaq,Person
"Ishaq, Adib",Adib Ishaq,Person
al-Íabbān,al-Íabbān,Person
Al-İbbān,al-Íabbān,Person
al-Zabīdī,al-Zabīdī,Person
al-Zabidī,al-Zabīdī,Person
al-Zabidi,al-Zabīdī,Person
al-Jabartī,al-Jabartī,Person
al-Jabarti,al-Jabartī,Person
al-‘A††ār,al-‘A††ār,Person
al-‘Aṭṭār,al-‘A††ār,Person
al-‘Atṭār,al-‘A††ār,Person
Faraāt,Faraāt,Person
Faraāt,Faraāt,Person
Farāṭ,Faraāt,Person
Al-Ahmadiyya,Al-Ahmadiyya,Organisation
al-Āḥmadiyya,Al-Ahmadiyya,Organisation
al-Aḥmadiyya,Al-Ahmadiyya,Organisation
al-Shidyāq,al-Shidyāq,Person
al-Šidyaq,al-Shidyāq,Person
Mahmud II,Mahmud II,Person
Mahmūd II,Mahmud II,Person
Mahmûd II,Mahmud II,Person
Meiji,Meiji,Konzept
Meiji Japan,Meiji,Konzept
Indian Ocean,Indian Ocean,Ort
Indischer Ozean,Indian Ocean,Ort
Europe,Europe,Ort
Europa,Europe,Ort
Lebanon,Lebanon,Ort
Philippines,Philippines,Konzept
Philippinen,Philippines,Konzept
China,China,Konzept
Kurd Ali,Kurd Ali,Person
Ridas,Ridas,Person
al-Hilal,al-Hilal,Organisation
World War I,World War I,Konzept
al- Qasimi,al- Qasimi,Person
al-Khatib,al-Khatib,Person
Jungtürkenrevolution,Jungtürkenrevolution,Konzept
Öffentlichkeit,Öffentlichkeit,Konzept
Tunesien,Tunesien,Ort
tanzimat,tanzimat,Konzept
Nabhani,Nabhani,Person
Khayr al-Din al-Tunisi,Khayr al-Din al-Tunisi,Person
ʿulamaʾ,ʿulamaʾ,Konzept
Young Turks,Young Turks,Konzept
constitutionalism,constitutionalism,Konzept
Nablus,Nablus,Ort
Aleppo,Aleppo,Ort
Damascus,Damascus,Ort
Butrus al-Bustani,Butrus al-Bustani,Person
Yusuf al-Nabhani,Yusuf al-Nabhani,Person
Al jinan,Al jinan,Organisation
muqtataf,muqtataf,Organisation
Hilal,Hilal,Organisation
Manar,Manar,Organisation
salim al bustani,salim al bustani,Person
Iraq,Iraq,Ort
Egypt,Egypt,Ort
Morocco,Morocco,Ort
Albert Hourani,Albert Hourani,Person
iskanderani,iskanderani,Person
