alias,normalform,typ
Ihsan Fikri,Ihsan Fikri,Person
Königreich Kilikien,Königreich Kilikien,Konzept
itidal,itidal,Organisation
Enver,Enver,Person
Enver Pasha,Enver,Person
Serbesti,Serbesti,Organisation
Hasan Fehmi,Hasan Fehmi,Person
Rashad Efendi,Rashad Efendi,Person
Damaskus,Damaskus,Ort
Damascus,Damaskus,Ort
Ummayad Mosque,Ummayad Mosque,Organisation
CUP,CUP,Konzept
CPU,CUP,Konzept
Committee of Union and Progress,CUP,Konzept
Syrien,Syrien,Ort
Putsch,Putsch,Konzept
Turkei,Turkei,Ort
Russland,Russland,Ort
Britten,Britten,Ort
Anatolein,Anatolein,Ort
Istanbul,Istanbul,Ort
Ableitung,Ableitung,Konzept
Bürokratie,Bürokratie,Konzept
Bulgarien,Bulgarien,Ort
Bulgarisches Königreich,Bulgarien,Ort
Kreta,Kreta,Ort
Griechenland,Griechenland,Ort
Österreich-Ungarn,Österreich-Ungarn,Organisation
Wien,Österreich-Ungarn,Organisation
Bosnien und Herzegowina,Bosnien und Herzegowina,Ort
Paris,Paris,Ort
Lebanon,Lebanon,Ort
Osmisches Reich,Osmisches Reich,Organisation
Osmanische Imperium,Osmisches Reich,Organisation
Bahn,Bahn,Konzept
Minen,Minen,Konzept
Ahmed Riza,Ahmed Riza,Person
Iran,Iran,Ort
Armenier,Armenier,Konzept
Russ,Russ,Ort
Türkei,Türkei,Ort
Liberale Partei,Liberale Partei,Organisation
Hilmi Pascha,Hilmi Pascha,Person
Tevfik Pascha,Tevfik Pascha,Person
Sultan,Sultan,Konzept
Mehmed Cavid,Mehmed Cavid,Person
Bahaeddin Sakir,Bahaeddin Sakir,Person
Hüssein Cahid,Hüssein Cahid,Person
Latakia,Latakia,Ort
Ali Ayni Bey,Ali Ayni Bey,Person
Sevket,Sevket,Person
Thessaloniki,Thessaloniki,Ort
Tanin,Tanin,Organisation
Suray-i Ümmet,Suray-i Ümmet,Organisation
KEF,KEF,Organisation
Russische Botschaft,Russische Botschaft,Ort
Anatolien,Anatolien,Konzept
Sabaheddin Bey,Sabaheddin Bey,Person
Said Pascha,Said Pascha,Person
Abdülhamid,Abdülhamid,Person
Abdü'l-Hamid,Abdülhamid,Person
Konst,Konst,Ort
Periode,Konst,Ort
Agragland,Agragland,Ort
Osm Reich,Osm Reich,Organisation
Osmanisches Reich,Osm Reich,Organisation
Hunchaks,Hunchaks,Organisation
Sassun,Sassun,Ort
Edirne,Edirne,Ort
Kamil,Kamil,Person
Mahmud Sevket Pasha,Mahmud Sevket Pasha,Person
Nazim Pascha,Nazim Pascha,Person
Midhat,Midhat,Person
midhat pasha,Midhat,Person
Verfassung,Verfassung,Konzept
Rida,Rida,Person
Al Azm,Al Azm,Person
Ottoman Consultative Society,Ottoman Consultative Society,Organisation
Al Manar,Al Manar,Ort
Ägypten,Ägypten,Ort
Talat,Talat,Person
Balkanprovinzen,Balkanprovinzen,Konzept
Balkan,Balkanprovinzen,Konzept
Militär,Militär,Konzept
Hochpforte,Hochpforte,Organisation
Bürokratie der Hohen Pforte,Hochpforte,Organisation
Halim,Halim,Person
Talât,Talât,Person
Semsi,Semsi,Person
Talat,Talat,Person
Ahmed Rıza,Ahmed Rıza,Person
Talaˆt,Talaˆt,Person
Kara Kemal,Kara Kemal,Person
Kıbrıslı Kâmil,Kıbrıslı Kâmil,Person
fouad,fouad,Person
Rafiq,Rafiq,Person
Shafiq,Shafiq,Person
Nadra,Nadra,Person
Arif,Arif,Person
Mutfiin,Mutfiin,Person
Hussein,Hussein,Person
